Time,Commanded,Actual
27.453,-0.4352851154473858,-0.43451970267702594
27.456,-0.4352851154473858,-0.43459715897400114
27.459,-0.4352851154473858,-0.4346764216146243
27.462,-0.4352851154473858,-0.43475471628665685
27.465,-0.4352851154473858,-0.4348299607620765
27.468,-0.4352851154473858,-0.43490066091727964
27.471,-0.4356341812977847,-0.4349683930885863
27.474,-0.4356341812977847,-0.4350370231858978
27.477,-0.4356341812977847,-0.4351068872003986
27.48,-0.4356341812977847,-0.43517562545890764
27.483,-0.4356341812977847,-0.4352414758739825
27.486,-0.4356341812977847,-0.4353031831029133
27.489,-0.4356341812977847,-0.4353599144564031
27.492,-0.43615778007338296,-0.4354150516993907
27.495,-0.43615778007338296,-0.4354750832244211
27.498,-0.43615778007338296,-0.43554093281427303
27.501,-0.43615778007338296,-0.43560926312450726
27.504,-0.43615778007338296,-0.4356774616309277
27.507,-0.43615778007338296,-0.43574354449193714
27.51,-0.43615778007338296,-0.43580606482383794
27.513,-0.4363323129985824,-0.43586531646819054
27.516,-0.4363323129985824,-0.4359229090123022
27.519,-0.4363323129985824,-0.4359788267140552
27.522,-0.4363323129985824,-0.43603181766616417
27.525,-0.4363323129985824,-0.43608101584574727
27.528,-0.4363323129985824,-0.4361258744219144
27.531,-0.4363323129985824,-0.4361661055803317
27.534,-0.4363323129985824,-0.4362016270844913
27.537,-0.4363323129985824,-0.436232515541787
27.54,-0.4363323129985824,-0.43625896615198956
27.543,-0.4363323129985824,-0.4362812585773379
27.546,-0.4363323129985824,-0.4362997284788455
27.549,-0.4363323129985824,-0.4363147442048816
27.552,-0.4363323129985824,-0.4363266880887426
27.555,-0.4363323129985824,-0.4363359418056525
27.558,-0.4363323129985824,-0.43634287525109716
27.561,-0.4363323129985824,-0.43634783842702357
27.564,-0.4363323129985824,-0.43635115585634426
27.567,-0.4363323129985824,-0.4363531230861597
27.57,-0.4363323129985824,-0.43635400488351517
27.573,-0.4363323129985824,-0.4363540347722377
27.576,-0.4363323129985824,-0.43635341560382085
27.579,-0.4363323129985824,-0.4363523208981927
27.582,-0.4363323129985824,-0.436350896730627
27.585,-0.4363323129985824,-0.4363492639784263
27.588,-0.4363323129985824,-0.43634752077494526
27.591,-0.4363323129985824,-0.4363457450488465
27.594,-0.4363323129985824,-0.4363439970531697
27.597,-0.4363323129985824,-0.43634232181190996
27.6,-0.4363323129985824,-0.43634075143153606
27.603,-0.4363323129985824,-0.4363393072414363
27.606,-0.4363323129985824,-0.43633800174095455
27.609,-0.4363323129985824,-0.4363368403417296
27.612,-0.4363323129985824,-0.4363358229028056
27.615,-0.4363323129985824,-0.436334945062705
27.618,-0.4363323129985824,-0.43633419937765855
27.621,-0.4363323129985824,-0.4363335762787121
27.624,-0.4363323129985824,-0.43633306486274276
27.627,-0.4363323129985824,-0.4363326535337292
27.63,-0.4363323129985824,-0.43633233051113796
27.633,-0.4363323129985824,-0.43633208422218117
27.636,-0.4363323129985824,-0.4363319035941264
27.639,-0.4363323129985824,-0.43633177826192254
27.642,-0.4363323129985824,-0.4363316987052595
27.645,-0.4363323129985824,-0.436331656327886
27.648,-0.4363323129985824,-0.4363316434906516
27.651,-0.4363323129985824,-0.436331653508363
27.654,-0.4363323129985824,-0.43633168061920075
27.657,-0.4363323129985824,-0.43633171993416403
27.66,-0.4363323129985824,-0.43633176737281176
27.663,-0.4363323129985824,-0.43633181959047795
27.666,-0.4363323129985824,-0.4363318739011498
27.669,-0.4363323129985824,-0.43633192819932554
27.672,-0.4363323129985824,-0.4363319808834055
27.675,-0.4363323129985824,-0.43633203078251304
27.678,-0.4363323129985824,-0.4363320770880874
27.681,-0.4363323129985824,-0.4363321192911301
27.684,-0.4363323129985824,-0.4363321571256055
27.687,-0.4363323129985824,-0.43633219051819827
27.69,-0.4363323129985824,-0.4363322195443903
27.693,-0.4363323129985824,-0.4363322443906453
27.696,-0.4363323129985824,-0.43633226532235686
27.699,-0.4363323129985824,-0.43633228265713025
27.702,-0.4363323129985824,-0.43633229674290924
27.705,-0.4363323129985824,-0.43633230794043915
27.708,-0.4363323129985824,-0.43633231660954463
27.711,-0.4363323129985824,-0.43633232309871633
27.714,-0.4363323129985824,-0.4363323277375234
27.717,-0.4363323129985824,-0.4363323308313987
27.72,-0.4363323129985824,-0.43633233265838584
27.723,-0.4363323129985824,-0.43633233346747224
27.726,-0.4363323129985824,-0.4363323334781802
27.729,-0.4363323129985824,-0.4363323328811261
27.732,-0.4363323129985824,-0.4363323318393007
27.735,-0.4363323129985824,-0.43633233048985887
27.738,-0.4363323129985824,-0.43633232894624535
27.741,-0.4363323129985824,-0.43633232730051236
27.744,-0.4363323129985824,-0.4363323256257156
27.747,-0.4363323129985824,-0.43633232397829846
27.75,-0.4363323129985824,-0.43633232240039643
27.753,-0.4363323129985824,-0.43633232092201424
27.756,-0.4363323129985824,-0.43633231956303997
27.759,-0.4363323129985824,-0.4363323183350765
27.762,-0.4363323129985824,-0.43633231724308075
27.765,-0.4363323129985824,-0.43633231628680597
27.768,-0.4363323129985824,-0.43633231546205337
27.771,-0.4363323129985824,-0.4363323147617422
27.774,-0.4363323129985824,-0.4363323141768071
27.777,-0.4363323129985824,-0.4363323136969417
27.78,-0.4363323129985824,-0.436332313311199
27.783,-0.4363323129985824,-0.43633231300846875
27.786,-0.4363323129985824,-0.4363323127778446
27.789,-0.4363323129985824,-0.4363323126088976
27.792,-0.4363323129985824,-0.4363323124918701
27.795,-0.4363323129985824,-0.436332312417804
27.798,-0.4363323129985824,-0.43633231237861364
27.801,-0.4363323129985824,-0.4363323123671167
27.804,-0.4363323129985824,-0.43633231237702996
27.807,-0.4363323129985824,-0.43633231240294024
27.81,-0.4363323129985824,-0.43633231244025616
27.813,-0.4363323129985824,-0.43633231248514726
27.816,-0.4363323129985824,-0.4363323125344754
27.819,-0.4363323129985824,-0.43633231258572164
27.822,-0.4363323129985824,-0.43633231263691297
27.825,-0.4363323129985824,-0.43633231268654965
27.828,-0.4363323129985824,-0.4363323127335367
27.831,-0.4363323129985824,-0.4363323127771192
27.834,-0.4363323129985824,-0.4363323128168235
27.837,-0.4363323129985824,-0.43633231285240376
27.84,-0.4363323129985824,-0.43633231288379476
27.843,-0.4363323129985824,-0.43633231291107066
27.846,-0.4363323129985824,-0.4363323129344097
27.849,-0.4363323129985824,-0.4363323129540635
27.852,-0.4363323129985824,-0.43633231297033265
27.855,-0.4363323129985824,-0.43633231298354597
27.858,-0.4363323129985824,-0.43633231299404357
27.861,-0.4363323129985824,-0.43633231300216474
27.864,-0.4363323129985824,-0.43633231300823805
27.867,-0.4363323129985824,-0.43633231301257347
27.87,-0.4363323129985824,-0.43633231301545866
27.873,-0.4363323129985824,-0.43633231301715514
27.876,-0.4363323129985824,-0.4363323130178971
27.879,-0.4363323129985824,-0.43633231301789077
27.882,-0.4363323129985824,-0.43633231301731545
27.885,-0.4363323129985824,-0.4363323130163241
27.888,-0.4363323129985824,-0.43633231301504555
27.891,-0.4363323129985824,-0.4363323130135862
27.894,-0.4363323129985824,-0.4363323130120325
27.897,-0.4363323129985824,-0.43633231301045305
27.9,-0.4363323129985824,-0.4363323130089004
27.903,-0.4363323129985824,-0.43633231300741426
27.906,-0.4363323129985824,-0.43633231300602243
27.909,-0.4363323129985824,-0.4363323130047437
27.912,-0.4363323129985824,-0.4363323130035886
27.915,-0.4363323129985824,-0.4363323130025619
27.918,-0.4363323129985824,-0.43633231300166314
27.921,-0.4363323129985824,-0.4363323130008882
27.924,-0.4363323129985824,-0.4363323130002305
27.927,-0.4363323129985824,-0.4363323129996814
27.93,-0.4363323129985824,-0.4363323129992312
27.933,-0.4363323129985824,-0.43633231299886943
27.936,-0.4363323129985824,-0.4363323129985857
27.939,-0.4363323129985824,-0.4363323129983698
27.942,-0.4363323129985824,-0.4363323129982118
